orderNumber,prNumber,poNumber
CGMMHRM19001,2100011613,4500134776
CGMMHRM19002 ,2100011705,4500135050
CGMMHRM19002 ,2500003647,4500135167
CGMMHRM19002 ,2100011773,4500135219
CGMMHRM19002 ,2100011809,4500135331
CGMMITM19001,2100011517,4500134371
CGMMITM19002,2100011696,4500135066
CGMMITM19002,2100011747,4500135215
CGMMITM19002,2100011736,4500135124
CGMMITM19002,2100011777,4500135227
CGMMITM19002,2100011805,4500135324
CGMMMTW19001,2100011556,4500134592
CGMMMTW19001,2100011557,4500134653
CGMMMTW19001,2100011563,4500134576
CGMMMTW19001,2100011615,4500134750
CGMMMTW19001,2100011632,4500134790
CGMMMTW19001,2100011638,4500134772
CGMMMTW19001,2100011639,4500134838
CGMMMTW19002,2100011569,4500134569
CGMMMTW19002,2100011574,4500134688
CGMMMTW19002,2100011641,4500134843
CGMMMTW19002,2100011653,4500134852
CGMMMTW19002,2100011666,4500134969
CGMMMTW19002,2100011670,4500134930
CGMMMTW19002,2100011676,4500134931
CGMMMTW19002,2500003629,4500135108
CGMMMTW19002,2100011712,4500135199
CGMMMTW19002,2100011732,4500135154
CGMMMTW19002,2100011783,4500135376
CGMMMTW19003,2100011554,4500134578
CGMMMTW19003,2100011640,4500134810
CGMMMTW19003,2500003641,4500135105
CGMMMTW19003,2100011731,4500135119
CGMMMTW19000,2500003523,4500134359
CGMMMTW19000,2500003551,4500134570
CGMMMTW19007,2100011584,4500134591
CGMMQPC19001,6100000771,330419809
CGMMQPC19001,6100000798,330819C802
CGMMQPC19002,2100011764,4500135197
CGMMQPC19002,2100011776,4500135249
CGMMQPC19002,2100011781,4500135354
CGMMQPC19002,2100011800,4500135313
CGMMQPC19002,2100011797,4500135312
CGMMQPC19002,2100011803,4500135391
CGMMLOG19001,2100011433,4500134443
CGMMLOG19001,2100011547,4500134546
CGMMLOG19002,2100011560,4500134661
CGMMPRD19000,2100011627,4500134764
CGMMPRD19000,2100011634,4500134774
CGMMPRD19000,5500011527,192020719
CGMMPRD19000,2100011644,4500134793
CGMMPRD19000,2100011706,4500135051
CGMMPRD19000,5500011738,1920201719
CGMMPRD19000,2100011729,4500135129
CGMMPRD19000,2100011770,4500135252
CGMM2019V177,6100000753,330419802
CGMM2019V177,6100000758,330419803
CGMM2019V177,6100000759,330419807
CGMM2019V177,2100011857,4500135438
CGMM2019V177,2100011685,4500134964
CGMM2019X167,6100000731,330219807
CGMM2019X167,6100000733,330219808
CGMM2019X167,6100000741,330319804
CGMM2019X167,6100000746,330319807
CGMM2019X167,2100011761,4500135181
CGMM2019X167,6100000806,1019GLS803
CGMMLA19X167,6100000789,0819GLS350
CGMMLA19X167,6100000792,0819GLS353
CGMMLA19X167,6100000795,0919GLS803
CGMMLA19X167,6100000796,0919GLS801
CGMM2019V167,6100000690,330918805
CGMM2019V167,6100000693,331018801
CGMM2019V167,6100000710,330818802
CGMM2019V167,6100000697,331018804
CGMM2019V167,6100000699,1118GLE300 
CGMM2019V167,6100000700,1118GLE301  
CGMM2019V167,2100011359,4500133826
CGMM2019V167,2100011398,4500134024
CGMM2019V167,2100011489,4500134207
CGMM2019V167,2100011522,4500134342
CGMM2019V167,6100000714,330119805
CGMM2019V167,2100011527,4500134461
CGMM2019V167,2100011535,4500134566
CGMM2019V167,2100011539,4500134503
CGMM2019V167,2100011540,4500134495
CGMM2019V167,2100011542,4500134560
CGMM2019V167,6100000723,330219800
CGMM2019V167,6100000725,330219801
CGMM2019V167,6100000729,330219805
CGMM2019V167,2100011553,4500134547
CGMM2019V167,2100011566,4500134567
CGMM2019V167,2500003563,4500134687
CGMM2019V167,6100000737,330319801
CGMM2019V167,2100011585,4500134596
CGMM2019V167,6100000774,0619GLE803
CGMM2019V167,6100000749,330319803
CGMM2019V167,2100011599,4500134701
CGMM2019V167,2100011609,4500134729
CGMM2019V167,2100011606,4500134732
CGMM2019V167,2100011623,4500134751
CGMM2019V167,2100011622,4500134752
CGMM2019V167,2100011618,4500134840
CGMM2019V167,2100011630,4500134815
CGMM2019V167,2100011625,4500134767
CGMM2019V167,2500003592,4500134830
CGMM2019V167,2100011687,4500135070
CGMM2019V167,2100011690,4500134977
CGMM2019V167,6100000776,0719GLE801
CGMM2019V167,6100000775,330719P800
CGMM2019V167,2100011702,4500135039
CGMM2019V167,2100011699,4500135035
CGMM2019V167,2100011716,4500135153
CGMM2019V167,2100011719,4500135107
CGMM2019V167,2100011720,4500135094
CGMM2019V167,2100011727,4500135100
CGMM2019V167,2100011734,4500135133
CGMM2019V167,2100011735,4500135134
CGMM2019V167,2100011738,4500135137
CGMM2019V167,5500011806,1920202315
CGMM2019V167,2100011739,4500135127
CGMM2019V167,2100011750,4500135196
CGMM2019V167,6100000773,0F19GLE802
CGMM2019M264,6100000730,310618800
CGMM2019M264,6100000673,310618803
CGMM2019M264,6100000678,310818801
CGMM2019M264,6100000702,311118800
CGMM2019M264,2100011425,4500134095
CGMM2019M264,2100011546,4500134525
CGMM2019M264,2100011526,4500134449
CGMM2019M264,6100000722,310119800
CGMM2019M264,6100000728,310219800
CGMM2019M264,6100000734,310219801
CGMM2019M264,6100000751,310319C378
CGMM2019M264,2100011603,4500134668
CGMM2019M264,2100011619,4500134765
CGMM2019M264,2100011683,4500134966
CGMM2019M264,2100011711,4500135057
CGMM2019M264,6100000782,310719C809
CGMM2019M264,2100011741,4500135142
CGMM2019M264,2100011754,4500135194
CGMM2019M264,2100011755,4500135182
CGMM2019M264,2100011784,310719C811
CGMM2019M264,2100011816,4500135447
CGMM2019M264,2100011845,4500135448
CGMM2019M264,2100011840,4500135426
CGMM2019M264,2100011831,4500135427
CGMM2019M264,2100011826,4500135425
CGMM2019M264,2100011363,4500133909
CGMM2019W213,6100000707,330119800
CGMM2019W213,2100011675,4500135058
CGMM2019W213,2100011680,4500135034
CGMM2019W213,5500011836,1920202597
CGMM2019V222,2100011691,4500134998
CGMM2019W205,6100000743,330319805A
CGMM2019W205,2100011743,4500135146
CGMM2019X253,2100011692,4500134996
CGMM2019X253,2100011737,4500135155
CGMM2019X253,2100011765,4500135195
EGMMEPC19002,5300000194,4500134438
EGMMEPC19002,2500003534,4500134462
EGMMEPC19002,2500003571,4500134747
EGMMEPC19002,5300000253,4500135063
EGMMEPC19002,4400000974,7500000930
EGMMEPC19002,2100011819,4500135380
EGMMEPC19002,5300000268,4500135442
EGMMENG19002,2500003548,4500134577
EGMMENG19002,2500003625,4500135060
CGMMENG19002,2100011576,4500134598
CGMMENG19002,2100011631,4500134769
CGMMENG19002,2100011652,4500134881
CGMMENG19002,2100011654,4500134857
CGMMENG19002,2100011663,4500134899
CGMMENG19002,2100011715,4500135200
CGMMENG19002,2100011749,4500135177
EGMM0019W213,6100000713,330119803
EGMM0019W213,2100011694,4500135017
EGMM0019W213,6100000778,330719E804
EGMM0019W213,6100000780,330719E806
EGMM0019W205,6100000752,30419C350  
EGMM0019W205,6100000767,330519S807
EGMM0019W205,2100011745,4500135139
EGMM0019X253,6100000750,330319808
EGMM0019X253,6100000770,0619GLC800
EGMM0019X253,6100000772,0619GLC801
EGMM0019M264,6100000709,330119C350
EGMM0019M264,6100000709,330119C850 
EGMM0019M264,6100000726,310219350
EGMM0019M264,4400000640,7500000614
EGMM0019M264,5300000208,4500134550
EGMM0019M264,2100011597,4500134659
EGMM0019M264,4400000715,7500000684
EGMM0019M264,5300000220,4500134641
EGMM0019M264,2500003557,4500134642
EGMM0019M264,6100000785,310719C812
EGMM0019M264,2100011753,4500135385
EGMM0019M264,2100011756,4500135183
EGMM0019M264,4400000978,7500000935
EGMM0019M264,6100000793,310919C800
EGMM0019M264,5500011952,1920202844
EGMM0019M264,2100011825,4500135424
EGMM0019M264,2100011846,4500135428
EGMM0019H247,5300000251,4500135206
EGMM0019V167,6100000691,330918301
EGMM0019V167,6100000695,331018302
EGMM0019V167,6100000696,331018803
EGMM0019V167,6100000696,331018803A
EGMM0019V167,6100000698,1018GLE303 
EGMM0019V167,2100011481,4500134180
EGMM0019V167,2100011492,4500134306
EGMM0019V167,6100000711,330119802
EGMM0019V167,6100000715,330119806
EGMM0019V167,4400000609,7500000581
EGMM0019V167,6100000721,330119808
EGMM0019V167,6100000721,330119808A
EGMM0019V167,6100000719,330119809
EGMM0019V167,6100000720,330119810
EGMM0019V167,6100000727,330219803
EGMM0019V167,4400000634,7500000604
EGMM0019V167,2100011583,4500134748
EGMM0019V167,2100011598,4500134665
EGMM0019V167,6100000742,330319803
EGMM0019V167,6100000736,330319801
EGMM0019V167,6100000736,330319801A
EGMM0019V167,4400000702,7500000669
EGMM0019V167,4400000701,7500000670
EGMM0019V167,4400000703,7500000671
EGMM0019V167,2500003567,4500134676
EGMM0019V167,2100011608,4500134718
EGMM0019V167,4400000758,7500000721
EGMM0019V167,4400000759,7500000727
EGMM0019V167,6100000761,330419810
EGMM0019V167,4400000777,7500000739
EGMM0019V167,5500011693,1920202316
EGMM0019V167,6100000765,0E19GLE805
EGMM0019V167,2100011681,4500134932
EGMM0019V167,2100011780,4500135240
EGMM0019V167,6100000764,0519GLE351
EGMM0019V167,2100011657,4500134856
EGMM0019V167,6100000777,0719GLE803
EGMM0019V167,2500003639,4500135106
EGMM0019V167,2100011740,4500135202
EGMM0019V167,6100000787,0819GLE800
EGMM0019V167,2100011757,4500135209
EGMM0019V167,6100000788,0819GLE801
EGMM0019V167,2100011763,4500135198
EGMM0019V167,4400000979,7500000933
EGMM0019V167,6100000769,0519GLE352
EGMM0019V167,4400000993,7500000950
EGMM0019V167,6100000803,0919GLE807
EGMM0019V167,4400001023,7500000974
EGMMLA19V167,2100011562,4500134728
EGMMLA19V167,2100011579,4500134597
EGMMLA19V167,6100000762,0519GLE350
EGMMLA19V167,4400001047,7500001032
EGMMTA19V167,5300000258,4500135205
EGMM0019V177,5300000250,4500135441
EGMM0019V177,6100000757,330419805
EGMM0019V177,6100000781,330719A808
EGMM0019X167,2100011769,4500135212
EGMM0019X167,2100011782,4500135264
EGMM0019X167,2100011849,4500135430
EGMM0019X167,6100000799,0919GLS805
EGMM0019X167,6100000810,1019GLS810
EGMM0019X167,6100000802,0919GLS806
EGMM0019X167,6100000805,1019GLS802
EGMM0019X167,6100000807,1019GLS801
